GEO_id,GEO_id2,GEO_display_label,HD01_VD01,HD02_VD01
1400000US48001950100,48001950100,"Census Tract 9501, Anderson County, Texas",5277,581
1400000US48001950401,48001950401,"Census Tract 9504.01, Anderson County, Texas",6337,441
1400000US48001950402,48001950402,"Census Tract 9504.02, Anderson County, Texas",4320,594
1400000US48001950500,48001950500,"Census Tract 9505, Anderson County, Texas",4447,535
1400000US48001950600,48001950600,"Census Tract 9506, Anderson County, Texas",6417,601
1400000US48001950700,48001950700,"Census Tract 9507, Anderson County, Texas",3047,366
1400000US48001950800,48001950800,"Census Tract 9508, Anderson County, Texas",4650,487
1400000US48001950901,48001950901,"Census Tract 9509.01, Anderson County, Texas",5776,643
1400000US48001950902,48001950902,"Census Tract 9509.02, Anderson County, Texas",5383,683
1400000US48001951000,48001951000,"Census Tract 9510, Anderson County, Texas",7277,625
1400000US48001951100,48001951100,"Census Tract 9511, Anderson County, Texas",5331,473
1400000US48003950100,48003950100,"Census Tract 9501, Andrews County, Texas",1949,216
1400000US48003950200,48003950200,"Census Tract 9502, Andrews County, Texas",6636,495
1400000US48003950300,48003950300,"Census Tract 9503, Andrews County, Texas",4194,454
1400000US48003950400,48003950400,"Census Tract 9504, Andrews County, Texas",2775,223
1400000US48005000101,48005000101,"Census Tract 1.01, Angelina County, Texas",6035,626
1400000US48005000102,48005000102,"Census Tract 1.02, Angelina County, Texas",5110,386
1400000US48005000200,48005000200,"Census Tract 2, Angelina County, Texas",6344,559
1400000US48005000301,48005000301,"Census Tract 3.01, Angelina County, Texas",4600,521
1400000US48005000302,48005000302,"Census Tract 3.02, Angelina County, Texas",4538,368
1400000US48005000400,48005000400,"Census Tract 4, Angelina County, Texas",5545,531
1400000US48005000500,48005000500,"Census Tract 5, Angelina County, Texas",3862,442
1400000US48005000600,48005000600,"Census Tract 6, Angelina County, Texas",6492,561
1400000US48005000700,48005000700,"Census Tract 7, Angelina County, Texas",3966,456
1400000US48005000800,48005000800,"Census Tract 8, Angelina County, Texas",6185,702
1400000US48005000901,48005000901,"Census Tract 9.01, Angelina County, Texas",6721,562
1400000US48005000902,48005000902,"Census Tract 9.02, Angelina County, Texas",2924,380
1400000US48005001001,48005001001,"Census Tract 10.01, Angelina County, Texas",6403,718
1400000US48005001002,48005001002,"Census Tract 10.02, Angelina County, Texas",4553,361
1400000US48005001100,48005001100,"Census Tract 11, Angelina County, Texas",6212,584
1400000US48005001200,48005001200,"Census Tract 12, Angelina County, Texas",2680,423
1400000US48005001300,48005001300,"Census Tract 13, Angelina County, Texas",4872,585
1400000US48007950100,48007950100,"Census Tract 9501, Aransas County, Texas",5738,665
1400000US48007950200,48007950200,"Census Tract 9502, Aransas County, Texas",1117,174
1400000US48007950300,48007950300,"Census Tract 9503, Aransas County, Texas",7225,603
1400000US48007950400,48007950400,"Census Tract 9504, Aransas County, Texas",3418,413
1400000US48007950500,48007950500,"Census Tract 9505, Aransas County, Texas",6129,587
1400000US48007990000,48007990000,"Census Tract 9900, Aransas County, Texas",0,13
1400000US48009020100,48009020100,"Census Tract 201, Archer County, Texas",2790,245
1400000US48009020200,48009020200,"Census Tract 202, Archer County, Texas",2599,199
1400000US48009020300,48009020300,"Census Tract 203, Archer County, Texas",3464,275
1400000US48011950100,48011950100,"Census Tract 9501, Armstrong County, Texas",1773,87
1400000US48013960100,48013960100,"Census Tract 9601, Atascosa County, Texas",6718,507
1400000US48013960201,48013960201,"Census Tract 9602.01, Atascosa County, Texas",6859,566
1400000US48013960202,48013960202,"Census Tract 9602.02, Atascosa County, Texas",9909,778
1400000US48013960300,48013960300,"Census Tract 9603, Atascosa County, Texas",3781,181
1400000US48013960401,48013960401,"Census Tract 9604.01, Atascosa County, Texas",2209,364
1400000US48013960402,48013960402,"Census Tract 9604.02, Atascosa County, Texas",7472,556
1400000US48013960500,48013960500,"Census Tract 9605, Atascosa County, Texas",2733,372
1400000US48013960600,48013960600,"Census Tract 9606, Atascosa County, Texas",6033,627
1400000US48015760100,48015760100,"Census Tract 7601, Austin County, Texas",2340,310
1400000US48015760200,48015760200,"Census Tract 7602, Austin County, Texas",6855,565
1400000US48015760300,48015760300,"Census Tract 7603, Austin County, Texas",6619,614
1400000US48015760400,48015760400,"Census Tract 7604, Austin County, Texas",3581,419
1400000US48015760501,48015760501,"Census Tract 7605.01, Austin County, Texas",4098,360
1400000US48015760502,48015760502,"Census Tract 7605.02, Austin County, Texas",5080,417
1400000US48017950100,48017950100,"Census Tract 9501, Bailey County, Texas",7121,
1400000US48019000101,48019000101,"Census Tract 1.01, Bandera County, Texas",4469,498
1400000US48019000102,48019000102,"Census Tract 1.02, Bandera County, Texas",4579,645
1400000US48019000200,48019000200,"Census Tract 2, Bandera County, Texas",2678,337
1400000US48019000300,48019000300,"Census Tract 3, Bandera County, Texas",6450,512
1400000US48019000400,48019000400,"Census Tract 4, Bandera County, Texas",2357,336
1400000US48021950100,48021950100,"Census Tract 9501, Bastrop County, Texas",9119,717
1400000US48021950200,48021950200,"Census Tract 9502, Bastrop County, Texas",8035,337
1400000US48021950300,48021950300,"Census Tract 9503, Bastrop County, Texas",12957,968
1400000US48021950400,48021950400,"Census Tract 9504, Bastrop County, Texas",8128,639
1400000US48021950501,48021950501,"Census Tract 9505.01, Bastrop County, Texas",8032,650
1400000US48021950502,48021950502,"Census Tract 9505.02, Bastrop County, Texas",5977,765
1400000US48021950600,48021950600,"Census Tract 9506, Bastrop County, Texas",4881,542
1400000US48021950700,48021950700,"Census Tract 9507, Bastrop County, Texas",3960,97
1400000US48021950801,48021950801,"Census Tract 9508.01, Bastrop County, Texas",6209,809
1400000US48021950802,48021950802,"Census Tract 9508.02, Bastrop County, Texas",7432,990
1400000US48023950300,48023950300,"Census Tract 9503, Baylor County, Texas",3678,
1400000US48025950100,48025950100,"Census Tract 9501, Bee County, Texas",2072,338
1400000US48025950201,48025950201,"Census Tract 9502.01, Bee County, Texas",7673,496
1400000US48025950202,48025950202,"Census Tract 9502.02, Bee County, Texas",5020,493
1400000US48025950300,48025950300,"Census Tract 9503, Bee County, Texas",5086,497
1400000US48025950400,48025950400,"Census Tract 9504, Bee County, Texas",2135,336
1400000US48025950500,48025950500,"Census Tract 9505, Bee County, Texas",7674,621
1400000US48025950600,48025950600,"Census Tract 9506, Bee County, Texas",2621,415
1400000US48027020100,48027020100,"Census Tract 201, Bell County, Texas",6668,574
1400000US48027020201,48027020201,"Census Tract 202.01, Bell County, Texas",7039,575
1400000US48027020202,48027020202,"Census Tract 202.02, Bell County, Texas",5843,748
1400000US48027020300,48027020300,"Census Tract 203, Bell County, Texas",8972,636
1400000US48027020401,48027020401,"Census Tract 204.01, Bell County, Texas",2825,451
1400000US48027020402,48027020402,"Census Tract 204.02, Bell County, Texas",2076,420
1400000US48027020500,48027020500,"Census Tract 205, Bell County, Texas",4353,370
1400000US48027020600,48027020600,"Census Tract 206, Bell County, Texas",2773,418
1400000US48027020701,48027020701,"Census Tract 207.01, Bell County, Texas",1152,246
1400000US48027020702,48027020702,"Census Tract 207.02, Bell County, Texas",2448,374
1400000US48027020800,48027020800,"Census Tract 208, Bell County, Texas",3385,474
1400000US48027020900,48027020900,"Census Tract 209, Bell County, Texas",2320,446
1400000US48027021000,48027021000,"Census Tract 210, Bell County, Texas",4012,535
1400000US48027021100,48027021100,"Census Tract 211, Bell County, Texas",5688,768
1400000US48027021201,48027021201,"Census Tract 212.01, Bell County, Texas",3097,511
1400000US48027021202,48027021202,"Census Tract 212.02, Bell County, Texas",3924,563
1400000US48027021203,48027021203,"Census Tract 212.03, Bell County, Texas",4475,409
1400000US48027021301,48027021301,"Census Tract 213.01, Bell County, Texas",4910,578
1400000US48027021302,48027021302,"Census Tract 213.02, Bell County, Texas",3081,412
1400000US48027021303,48027021303,"Census Tract 213.03, Bell County, Texas",6385,631
1400000US48027021400,48027021400,"Census Tract 214, Bell County, Texas",3667,326
1400000US48027021500,48027021500,"Census Tract 215, Bell County, Texas",6267,651
1400000US48027021601,48027021601,"Census Tract 216.01, Bell County, Texas",5323,584
