GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1400000US48167721800,48167721800,"Census Tract 7218, Galveston County, Texas",T1_POP$1400000US48167721800
1400000US48167724000,48167724000,"Census Tract 7240, Galveston County, Texas",T1_POP$1400000US48167724000
1400000US48167724500,48167724500,"Census Tract 7245, Galveston County, Texas",T1_POP$1400000US48167724500
1400000US48167725300,48167725300,"Census Tract 7253, Galveston County, Texas",T1_POP$1400000US48167725300
1400000US48167725400,48167725400,"Census Tract 7254, Galveston County, Texas",T1_POP$1400000US48167725400
1400000US48167725600,48167725600,"Census Tract 7256, Galveston County, Texas",T1_POP$1400000US48167725600
1400000US48167725800,48167725800,"Census Tract 7258, Galveston County, Texas",T1_POP$1400000US48167725800
1400000US48187210604,48187210604,"Census Tract 2106.04, Guadalupe County, Texas",T1_POP$1400000US48187210604
1400000US48187210714,48187210714,"Census Tract 2107.14, Guadalupe County, Texas",T1_POP$1400000US48187210714
1400000US48187210804,48187210804,"Census Tract 2108.04, Guadalupe County, Texas",T1_POP$1400000US48187210804
1400000US48215021901,48215021901,"Census Tract 219.01, Hidalgo County, Texas",T1_POP$1400000US48215021901
1400000US48215023504,48215023504,"Census Tract 235.04, Hidalgo County, Texas",T1_POP$1400000US48215023504
1400000US48215024108,48215024108,"Census Tract 241.08, Hidalgo County, Texas",T1_POP$1400000US48215024108
1400000US48215024111,48215024111,"Census Tract 241.11, Hidalgo County, Texas",T1_POP$1400000US48215024111
1400000US48215024112,48215024112,"Census Tract 241.12, Hidalgo County, Texas",T1_POP$1400000US48215024112
1400000US48215024201,48215024201,"Census Tract 242.01, Hidalgo County, Texas",T1_POP$1400000US48215024201
1400000US48215024203,48215024203,"Census Tract 242.03, Hidalgo County, Texas",T1_POP$1400000US48215024203
1400000US48245011203,48245011203,"Census Tract 112.03, Jefferson County, Texas",T1_POP$1400000US48245011203
1400000US48245011304,48245011304,"Census Tract 113.04, Jefferson County, Texas",T1_POP$1400000US48245011304
1400000US48253020101,48253020101,"Census Tract 201.01, Jones County, Texas",T1_POP$1400000US48253020101
1400000US48253020102,48253020102,"Census Tract 201.02, Jones County, Texas",T1_POP$1400000US48253020102
1400000US48423000202,48423000202,"Census Tract 2.02, Smith County, Texas",T1_POP$1400000US48423000202
1400000US48423000400,48423000400,"Census Tract 4, Smith County, Texas",T1_POP$1400000US48423000400
1400000US48423000700,48423000700,"Census Tract 7, Smith County, Texas",T1_POP$1400000US48423000700
1400000US48423000800,48423000800,"Census Tract 8, Smith County, Texas",T1_POP$1400000US48423000800
1400000US48423002006,48423002006,"Census Tract 20.06, Smith County, Texas",T1_POP$1400000US48423002006
1400000US48423002008,48423002008,"Census Tract 20.08, Smith County, Texas",T1_POP$1400000US48423002008
1400000US48491020313,48491020313,"Census Tract 203.13, Williamson County, Texas",T1_POP$1400000US48491020313
1400000US48491020320,48491020320,"Census Tract 203.20, Williamson County, Texas",T1_POP$1400000US48491020320
1400000US48491020324,48491020324,"Census Tract 203.24, Williamson County, Texas",T1_POP$1400000US48491020324
1400000US48491020326,48491020326,"Census Tract 203.26, Williamson County, Texas",T1_POP$1400000US48491020326
1400000US48491020328,48491020328,"Census Tract 203.28, Williamson County, Texas",T1_POP$1400000US48491020328
